frequency_Hz,gain_dB,phase_deg
100.000000,-0.000461,-8.130905
107.226722,-0.000604,-8.722781
114.975700,-0.000794,-9.358416
123.284674,-0.001043,-10.041198
132.194115,-0.001372,-10.774809
141.747416,-0.001806,-11.563259
151.991108,-0.002378,-12.410923
162.975083,-0.003132,-13.322581
174.752840,-0.004128,-14.303471
187.381742,-0.005443,-15.359335
200.923300,-0.007178,-16.496491
215.443469,-0.009468,-17.721896
231.012970,-0.012491,-19.043230
247.707636,-0.016481,-20.468983
265.608778,-0.021746,-22.008547
284.803587,-0.028692,-23.672326
305.385551,-0.037852,-25.471834
327.454916,-0.049927,-27.419796
351.119173,-0.065831,-29.530231
376.493581,-0.086759,-31.818494
403.701726,-0.114264,-34.301261
432.876128,-0.150348,-36.996401
464.158883,-0.197583,-39.922680
497.702356,-0.259236,-43.099228
533.669923,-0.339402,-46.544659
572.236766,-0.443142,-50.275751
613.590727,-0.576566,-54.305581
657.933225,-0.746860,-58.641104
705.480231,-0.962175,-63.280244
756.463328,-1.231329,-68.208824
811.130831,-1.563291,-73.397885
869.749003,-1.966442,-78.802188
932.603347,-2.447690,-84.360760
1000.000000,-3.011612,-90.000000
1072.267222,-3.659811,-95.639240
1149.756995,-4.390684,-101.197812
1232.846739,-5.199655,-106.602115
1321.941148,-6.079814,-111.791176
1417.474163,-7.022781,-116.719756
1519.911083,-8.019587,-121.358896
1629.750835,-9.061414,-125.694419
1747.528400,-10.140111,-129.724249
1873.817423,-11.248493,-133.455341
2009.233003,-12.380448,-136.900772
2154.434690,-13.530917,-140.077320
2310.129700,-14.695803,-143.003599
2477.076356,-15.871839,-145.698739
2656.087783,-17.056456,-148.181506
2848.035868,-18.247649,-150.469769
3053.855509,-19.443866,-152.580204
3274.549163,-20.643913,-154.528166
3511.191734,-21.846873,-156.327674
3764.935807,-23.052049,-157.991453
4037.017259,-24.258905,-159.531017
4328.761281,-25.467036,-160.956770
4641.588834,-26.676135,-162.278104
4977.023564,-27.885966,-163.503509
5336.699231,-29.096352,-164.640665
5722.367659,-30.307159,-165.696529
6135.907273,-31.518284,-166.677419
6579.332247,-32.729650,-167.589077
7054.802311,-33.941200,-168.436741
7564.633276,-35.152887,-169.225191
8111.308308,-36.364679,-169.958802
8697.490026,-37.576551,-170.641584
9326.033469,-38.788483,-171.277219
10000.000000,-40.000461,-171.869095
10722.672220,-41.212473,-172.420333
11497.569954,-42.424511,-172.933811
12328.467394,-43.636569,-173.412188
13219.411485,-44.848642,-173.857922
14174.741629,-46.060727,-174.273288
15199.110830,-47.272820,-174.660394
16297.508346,-48.484920,-175.021195
17475.284000,-49.697025,-175.357504
18738.174229,-50.909134,-175.671005
20092.330026,-52.121245,-175.963262
21544.346900,-53.333359,-176.235727
23101.297001,-54.545475,-176.489754
24770.763560,-55.757592,-176.726598
26560.877829,-56.969709,-176.947430
28480.358684,-58.181828,-177.153338
30538.555088,-59.393947,-177.345335
32745.491629,-60.606067,-177.524365
35111.917342,-61.818187,-177.691308
37649.358068,-63.030307,-177.846982
40370.172586,-64.242427,-177.992150
43287.612811,-65.454548,-178.127522
46415.888336,-66.666669,-178.253761
49770.235643,-67.878790,-178.371484
53366.992312,-69.090911,-178.481268
57223.676594,-70.303032,-178.583647
61359.072734,-71.515153,-178.679122
65793.322466,-72.727274,-178.768159
70548.023107,-73.939395,-178.851192
75646.332755,-75.151516,-178.928627
81113.083079,-76.363637,-179.000842
86974.900262,-77.575758,-179.068188
93260.334688,-78.787879,-179.130994
100000.000000,-80.000000,-179.189566
